termin_input;termin_eng;termin_explanation;photo_norm;photo_real
нижний подъём;low height;Гласные нижнего подъёма — разновидность гласных звуков, которые произносятся с низким поднятием соответствующей части языка в ротовой полости.;;
носовая полость;nasal cavity;nasalcavity.png;nasalcavity1.png;
носовые;nasal;Обширный класс звуков (гласных и согласных), в образовании которого принимает участие полость носа, при неносовых или ротовых обыкновенно разобщенная от полости рта поднятой кверху небной занавеской. При Н. звуках, напротив, небная занавеска опущена и выдыхаемый из легких воздушный ток беспрепятственно проходит не только в полость рта, но и в полость носа, играющую при образовании Н. звуков роль второго резонатора, или второй надставной трубы.;;
оглушённый;devoiced;Звук, обычно звонкий, произнесенный без фонации;;
огубленный;rounded;Лабиализация — огубление, «выпячивание» губ вперёд и/или придание им округлой формы при артикуляции какого-либо звука. Это явление также называется огублённостью или округлением. В некоторых лингвистических школах огублённостью называют фонетическое явление, возникающее при артикуляции гласных, а в случае с согласными его именуют лабиализацией. В большинстве языков имеется тенденция к тому, чтобы передние гласные были неогубленными, а задние — огубленными.;;
одноударный вибрант;tap, flap;Количество смычек (ударов) у дрожащего согласного может колебаться от одной до трех-четырех. Одноударные дрожащие иначе называются флэп (пар, «хлопок»). В русском языке такими согласными являются [р'] (во всех позициях) и [р] в начале слова и между гласными. В соседстве с согласным и перед паузой русский [р] иногда бывает двух- или даже трехударным. Одноударные согласные— один из видов согласных звуков, произносится единственным усилием артикуляционного органа.;;
открытые;open;Иногда гласные нижнего подъема называют открытыми, поскольку во время артикуляции спинка языка отдаляется по возможности дальше от нёба, а рот широко открыт.;;
палатализованный;palatalized;Согласный звук, подвергшийся палатализации. Палатализация — смещение тела языка вперед и вверх в направлении твердого нёба; то есть в ту область, где образуется гласный [и].;
палатальные;palatal;Согласные, образуемые между средней частью спинки языка и твёрдым нёбом. Активным речевым органом является средняя часть спинки языка, которая поднимается и соприкасается или сближается с твёрдым нёбом.;;
переднеязычные;coronal;Апикальные и ламинальные звуки вместе.;;
передний ряд;front backness;Определяющей характеристикой гласных переднего ряда является положение языка, который при произнесении находится как можно ближе к зубам, но без сужения, при котором звук был бы согласным.;;
перстневидный хрящ;cricoid cartilage;;cricoid.png;cricoid1.png
пищевод;oesophagus, food pipe;;pipe.png;pipe1.png
полнозвонкий;fully voiced;Фонация происходит без ослабления.;;
полузвонкий;prevoiced или zero-voicing;Фонация происходит до начала согласного или с началом согласного , но заканчивается до его отступа.;;
постальвеолярные;postalveolar;Губно-зубные согласные — согласные, образуемые в результате разных видов контакта между нижней губой и верхними зубами. Активным речевым органом является нижняя губа, которая поднимается и соприкасается с верхними зубами.;;
придыхание;aspiration;Аспирация - фонация, имеющий больший поток воздуха, чем в нейтральной фонации; черпаловидные хрящи могут быть друг от друга дальше, чем при отсутствии фонации.;
придыхательный голос;breathy voice;Голосовые связки вибрируют, но без заметного контакта; черпаловидные хрящи расположены друг от друга дальше, чем в нейтральной фонации.;
рекурсия;release;отступ (звука);;
ретрофлексные;retroflex;(иногда – какуминальные) Звуки, которые могут описываться как отдельное место артикуляции, как в МФА, а могут – как постальвеолярные артикуляции с загнутым назад кончиком языка.;;
ротовая полость;oral cavity;;mouth.png;mouth1.png
скрипучий голос;creaky voice;Голосовые связки вибрируют спереди, но с прижатыми друг к другу черпаловидными хрящами; более низкий поток воздуха, чем в нейтральной фонации.;
согласные;сonsonants;Звуки, которые характеризуются наличием преграды в речевом тракте, точной локализацией мускульного напряжения при образовании звука; обычно образуют слоговую периферию (при определенных условиях в различных языках встречаются как неслоговые гласные, так и слоговые согласные, но в сочетании согласного с гласным вершину всегда образует гласный).;
сонорные;sonorants;В фонетике и фонологии сонорными согласными называются звуки, производимые без участия турбулентного потока воздуха в голосовом тракте (такие как [m] и [l]). Также к сонорным относят аппроксиманты, носовые согласные, одноударные и дрожащие. По степени звучности, все звуки, находящиеся выше фрикативных, являются сонорными, из-за чего они способны образовывать вершину слога в тех языках, которые различают звучность такого уровня.;;
спинка языка;dorsum;;tongue.png;tongue1.png
способ образования;manner of articulation;Способ преодоления воздушной струей преграды в органах речи.;;
средний подъём;mid height;Гласные среднего подъёма характеризуются средним положением языка между гласными нижнего и верхнего подъёма.;;
средний ряд;central backness;При воспроизведении язык находится в среднем положении между передними и задними гласными.;;
твердое небо;hard palate;;ar_ap.png;in_oral_cavity.png
трахея;trachea;;trachea.png;trachea1.png
трифтонг;triphthong;Ложный гласный, состоящий из трёх элементов, образующих один слог. В речи трифтонг часто стягивается в дифтонг.;;
увула;uvula;;ar_ap.png;in_oral_cavity.png
увулярные;uvular;Согласные звуки, образуемые задней частью языка в районе язычка (лат. uvula), дальше, чем образуются заднеязычные согласные;;
фарингализованный;pharyngealized;Гласные, произносимые с дополнительной артикуляцией — фарингализацией — коартикуляционным процесс, при котором артикуляция при произношении звуков сопровождается сужением гортани.;;
фарингальные;pharyngeal;В фонетике фарингальные согласные описывают артикуляцию глотального звука. При артикуляции фарингальных согласных в гортани образуется смычка. При произнесении язык отводится назад и шейные мускулы напрягаются.;;
фонация;phonation;преобразование потока в гортани;;
форманта;formant;Форманта — это резонансная частота речевого тракта определенной формы и объема.Частоты формант (кроме частоты основного тона) задаются конфигурацией речевого тракта.;formant1.png;
фортис;fortis;сильные, напряжённые;;
фрикативный;fricative;Фрикативные (или щелевые) согласные образуются при наличии существенного сужения (щели) в речевом тракте, вызывающего турбулентный (вихревой) поток воздуха и фрикативный шум. В зависимости от формы щели различают круглощелевые (например, [с], [з]) и плоскощелевые (например, [ш], [ф], [х], [j]) фрикативные согласные. Переднеязычные согласные с круглой щелью ([с], [з], [ц], [с'], [з'], [ц']) называются свистящими, а переднеязычные согласные с пло ской щелью ([ш], [ж], [ч], [ш'], [ж'], [ч']) — шипящими.;;
черпаловидный хрящ;arytenoid cartilage;;arytenoid.png;arytenoid1.png
шва;schwa;Слабый, ненапряжённый, едва слышный, очень краткий звук неясного тембра, среднего подъёма (немного более закрытый чем [e]), центральный.;;
шумные;obstruents;Шумные согласные образуются в результате препятствия воздушному потоку, вызывающего повышенное давление воздуха в голосовом тракте. Артикуляция шумных предусматривает полное закрытие голосового тракта, либо частичное, то есть стриктуру, вызывающую трение.;;
щитовидный хрящ;thyroid cartilage;;thyroid.png;thyroid1.png
эйективы;ejectives;Абруптивные/эйективные согласные — нелёгочные (непульмональные), в основном взрывные согласные, образующиеся быстрым движением гортани вверх при закрытой голосовой щели, а затем расслаблении ротовой смычки. В то время как у пульмональных взрывных согласных избыточное давление в артикуляционном пространстве возникает при помощи воздуха, выходящего из лёгких, у абруптивных избыточное давление создаётся посредством давления воздуха между закрытой голосовой щелью и ротовой смычкой.;;
экскурсия;approach;приступ (звука);;
